k,X,Y,class
1048,4279,4716,0
1049,8068,6025,8
1050,8404,2790,5
1051,2076,4722,4
1052,9313,8417,5
1053,3871,6873,2
1054,7851,1833,4
1055,6896,5429,0
1056,7590,7583,3
1057,4830,5194,5
1058,8692,8059,3
1059,6474,1597,0
1060,5245,5672,5
1061,6200,2316,2
1062,3804,7712,3
1063,7303,2793,9
1064,6417,6747,2
1065,2215,5200,8
1066,4565,9267,3
1067,8279,8060,5
1068,4839,8788,1
1069,4275,3279,1
1070,4624,5075,8
1071,3450,3521,1
1072,7176,7344,2
1073,4836,7350,2
1074,8133,4707,0
1075,4766,6991,3
1076,5248,7110,3
1077,6136,4113,1
1078,4629,7470,2
1079,6062,2077,5
1080,8350,8899,5
1081,4484,4117,6
1082,2637,9032,3
1083,8750,3627,6
1084,2496,7595,3
1085,6687,4351,0
1086,8208,6983,3
1087,6422,8424,8
1088,5647,1359,4
1089,7164,2314,9
1090,6617,3752,2
1091,7853,2791,9
1092,4285,7351,3
1093,7513,4349,7
1094,4205,2680,3
1095,3740,9748,7
1096,2838,6756,2
1097,3246,4839,8
1098,7164,2553,9
1099,5453,6271,1
1100,4683,1122,7
1101,7180,8782,6
1102,2500,9512,0
1103,4281,5675,4
1104,3253,7713,2
1105,6349,6867,2
1106,2570,9871,6
1107,8268,3269,6
1108,3037,3522,2
1109,8337,3389,6
1110,2563,6757,8
1111,7581,3990,7
1112,3376,1485,7
1113,8132,3988,0
1114,3239,1724,7
1115,5865,6030,4
1116,7030,3991,0
1117,2829,2923,0
1118,3861,2801,1
1119,7658,7224,2
1120,2431,9392,0
1121,4829,4475,6
1122,3107,4120,3
1123,4703,9267,2
1124,7791,5307,7
1125,6283,7946,1
1126,2285,6039,6
1127,4478,1721,7
1128,3723,2562,3
1129,5113,8308,2
1130,3454,5437,5
1131,3462,8791,7
1132,5658,5671,5
1133,4624,5314,6
1134,9099,5423,3
1135,4909,9147,3
1136,7318,9261,0
1137,2831,4121,8
1138,4216,7471,2
1139,2777,9990,6
1140,6614,2794,9
1141,4413,3279,1
1142,7730,8780,5
1143,3457,6395,1
1144,8336,3149,6
1145,5108,6152,8
1146,2976,6756,2
1147,6750,2075,0
1148,9368,2788,0
1149,6062,2316,0
1150,7795,7223,8
1151,2568,8913,3
1152,9246,9256,5
1153,7658,7463,2
1154,4342,2680,2
1155,5314,6031,0
1156,9021,1710,0
1157,8199,3150,6
1158,8135,5426,1
1159,4273,2321,2
1160,6061,1598,1
1161,8618,5784,3
1162,6765,8064,2
1163,3603,9988,6
1164,6563,10101,2
1165,9314,8896,0
1166,6065,3514,4
1167,8413,6383,1
1168,2776,9751,0
1169,7575,1355,6
1170,6130,1717,8
1171,2768,6157,5
1172,8063,4108,0
1173,5651,2797,2
1174,4497,9627,1
1175,5443,2438,1
1176,8470,1712,6
1177,8278,7581,4
1178,5238,3037,6
1179,6970,7704,1
1180,7167,3512,4
1181,6348,6388,0
1182,5860,4114,1
1183,8420,9258,5
1184,7521,7463,2
1185,8955,2789,2
1186,7175,6865,0
1187,7527,10099,0
1188,9371,4225,6
1189,5789,3275,0
1190,5784,1119,4
1191,3463,9030,7
1192,4897,4116,6
1193,5923,1598,1
1194,2757,1606,6
1195,9442,4824,2
1196,7023,1116,0
1197,9233,3986,1
1198,7168,3991,0
1199,6611,1596,3
1200,3104,2923,1
1201,4628,6991,2
1202,4620,3638,3
1203,3857,1364,1
1204,2845,9631,0
1205,4151,9029,3
1206,3865,4717,1
1207,8196,2191,5
1208,4904,7230,3
1209,5583,3396,0
1210,6207,4951,0
1211,4618,2679,3
1212,4211,5076,4
1213,7096,2673,9
1214,4693,5434,6
1215,7717,3271,9
1216,4482,3398,3
1217,7169,4470,2
1218,4694,5674,5
1219,3239,1964,7
1220,7657,6744,0
1221,1670,7597,4
1222,4078,7232,3
1223,6483,5430,0
1224,8825,5903,2
1225,6477,3034,9
1226,3182,6635,8
1227,3464,9510,4
1228,8685,5185,4
1229,9303,4584,0
1230,6837,9621,6
1231,2766,5678,5
1232,3803,7233,1
1233,2762,3762,1
1234,7100,4350,2
1235,5795,5431,0
1236,3721,2083,7
1237,5802,8546,0
1238,2766,5439,5
1239,2488,4481,2
1240,4966,4236,6
1241,7582,4229,8
1242,2827,2205,4
1243,7237,3871,0
1244,5388,8067,8
1245,2569,9631,0
1246,7457,9739,4
1247,6545,2675,9
1248,8340,4587,4
1249,1602,8196,1
1250,5583,3156,6
1251,2484,2804,4
1252,8415,7341,4
1253,3929,2681,1
1254,5592,6989,3
1255,8067,5546,8
1256,4134,1842,7
1257,8072,7702,8
1258,4968,5194,5
1259,4276,3519,1
1260,4085,9867,1
1261,2833,4840,5
1262,3257,9151,7
1263,4210,4836,0
1264,4004,4957,0
1265,6213,7586,0
1266,7377,5068,1
1267,3731,6155,1
1268,7368,1235,6
1269,4753,1481,7
1270,4080,8190,1
1271,3592,5676,5
1272,8544,3508,6
1273,3947,10107,2
1274,5874,9863,6
1275,8966,7340,3
1276,6966,6027,6
1277,9382,8776,0
1278,2080,6399,6
1279,6409,3394,9
1280,8758,6742,3
1281,5118,10224,1
1282,5936,6868,2
1283,6751,2315,9
1284,2898,3282,3
1285,6954,997,4
1286,4064,1243,1
1287,5252,8786,0
1288,2762,4001,8
1289,2495,7356,2
1290,3249,5797,5
1291,4011,7831,2
1292,4827,3757,6
1293,7596,10218,0
1294,8621,7221,1
1295,7526,9859,4
1296,7250,9381,4
1297,4980,10225,7
1298,2689,2205,4
1299,2979,8193,8
1300,3120,9630,1
1301,4343,2920,2
1302,8621,6982,1
1303,3326,9270,4
1304,5303,1240,4
1305,4003,4717,0
1306,2147,5560,0
1307,2629,5918,5
1308,2971,5079,5
1309,6288,10102,3
1310,6268,1717,6
1311,3788,1244,4
1312,8831,8538,5
1313,5179,6990,3
1314,3173,3042,1
1315,2561,6278,1
1316,6211,6868,2
1317,1671,8316,1
1318,2830,3642,1
1319,2765,4960,2
1320,3115,7474,2
1321,6542,1477,8
1322,9025,3148,4
1323,5579,1719,4
1324,8273,5425,1
1325,2697,5559,5
1326,8056,1234,5
1327,6552,5310,0
1328,3107,4360,3
1329,5869,7707,3
1330,5854,1479,4
1331,2151,7476,3
1332,5099,2558,1
1333,7991,2791,9
1334,1940,5680,5
1335,4422,7112,2
1336,3109,4839,1
1337,2833,4600,2
1338,5659,6390,0
1339,6080,9503,0
1340,8143,8540,6
1341,6405,1717,0
1342,3732,6634,8
1343,3926,1244,4
1344,9096,4226,4
1345,3519,3880,0
1346,5181,7948,2
1347,9438,3147,4
1348,8961,5184,2
1349,1464,7957,5
1350,5168,2678,2
1351,2080,6638,0
1352,4894,2918,3
1353,6550,4831,0
1354,2707,9392,0
1355,7240,5308,1
1356,3523,5557,5
1357,9168,5543,8
1358,7183,10219,4
1359,4217,7711,2
