X,Y,class
1.2747155,0.48677918,0
0.510654,0.2450066,0
-1.5453321,-1.2339392,3
-3.4313023,-1.9736463,3
-3.9104226,-0.9499619,3
-2.0141804,6.535331,7
-2.0426707,-1.0619195,3
2.1147156,1.5124283,0
-2.3868272,6.2808385,7
-0.25042704,-1.5121996,6
-6.4382653,1.2605002,2
-3.9263434,-1.642141,3
2.1793354,-0.4644711,0
-3.7246857,0.7697617,2
2.327602,0.59400344,0
2.5481043,0.28647575,0
-1.4248946,0.9243542,8
-2.2966285,-3.75269,5
-2.740059,1.0032898,2
-1.912701,5.926396,7
6.229337,3.7922068,4
-1.5284834,-2.3766549,5
-3.7942948,1.3257446,2
-3.1512122,-1.5241959,3
-2.7344906,3.7078586,1
-0.3661231,-1.5090374,6
6.4280787,4.0377803,4
-0.6650203,3.6656945,1
0.8158976,2.835051,0
-2.1828775,6.9973965,7
1.1782897,2.4516072,0
-0.41805387,-1.5309708,6
-3.026937,-0.17021108,8
-1.1356648,-0.7264479,6
1.7761856,0.044963725,0
0.87986356,5.487138,9
-4.2218137,-1.3246311,3
2.0916977,0.7151724,0
1.8358094,5.6590037,9
-4.7977433,1.0510882,2
5.130007,2.855717,4
3.9193435,4.557864,4
1.5864383,-0.9972819,5
-4.7214713,-1.3613106,3
-3.3074524,6.164751,7
0.9236381,1.6436851,0
3.4346354,-0.26376888,5
-3.4115407,-0.73912376,2
4.2176085,3.3477407,4
-2.5395901,6.200196,7
3.788432,1.4601762,0
1.5644493,0.1709066,0
-1.336162,-4.800832,5
-2.4374738,-0.37933925,3
-4.7148957,0.13534975,2
-2.627851,2.617927,1
0.2606452,-1.164331,5
-3.1878257,1.5791564,2
3.5509756,4.1549163,4
5.607374,4.6117992,4
-5.298804,0.7421855,2
-2.2784178,-0.90181667,3
0.87077105,-2.7025263,6
-4.0957084,-2.5286741,3
-1.1497337,0.4473977,3
-2.4884887,4.2722383,1
5.2427444,3.7348914,4
-2.9521518,-2.2206936,3
2.2568405,1.4241741,0
3.4256275,1.4509579,0
-1.8419987,-3.2581937,5
-4.82099,1.1120551,2
-1.9051188,3.5430171,1
3.122454,4.9253945,9
-1.9180847,6.130058,7
-2.0860672,3.5799212,1
-5.8807936,1.0129048,2
0.19726045,2.7920876,1
-0.1631066,-3.1966534,6
-2.4560723,3.0691967,1
-3.043371,-1.2324476,3
-1.5034783,-3.572818,5
-3.2970147,-2.0160697,3
2.0588481,1.1458359,0
-1.3433827,2.5505612,1
-1.86403,4.841453,1
-2.6482863,5.9879003,7
-3.3560896,-1.5174081,3
-1.623302,4.10661,1
-1.1896523,-2.530562,5
-3.6859524,-1.971297,3
-0.765264,3.4770548,9
-1.8080536,0.508908,8
1.98149,-0.7911412,5
5.508686,5.242992,4
-3.6579204,-1.7039375,3
-1.833254,1.5427281,8
1.1964993,-3.012554,6
1.8512284,1.6225449,0
3.3807037,-0.53479445,5
-5.083088,-0.19338332,2
4.4888124,2.2290149,4
0.06791507,4.0481877,9
4.6215763,3.027587,4
-1.4039562,0.792043,2
4.469834,4.012424,4
2.7281077,0.7650158,0
1.0113184,-1.3228425,5
-0.86976373,-1.8337945,6
5.79336,5.327101,4
3.2211099,1.5171157,0
1.6296196,0.4686458,0
-1.5030506,4.507773,1
-2.612113,2.5803313,1
-2.807136,1.898513,1
-1.5361942,5.5775027,1
0.80335957,-3.2162251,6
-1.7632601,0.012782057,8
1.9644369,-0.9800629,5
-1.1721828,3.0272262,1
-1.3977431,3.6983306,1
-3.1207106,1.2744656,2
-3.646074,0.4641875,2
-1.8193028,0.62366724,8
3.191865,-0.027338488,0
1.390373,1.353886,0
-0.32507005,2.3060207,1
-2.6209776,6.6902122,7
-2.2085397,4.979412,1
2.600406,1.3463081,0
-2.8557913,0.535229,2
1.45419,5.148012,9
-2.1156447,0.48601887,8
3.2554243,1.6989793,0
-5.5470166,0.98037696,2
-3.2963543,0.60689723,2
0.6880488,-2.589579,6
-1.1540178,-1.8949463,3
-5.083404,0.7905007,2
5.5506396,5.366388,4
-4.3732967,-2.0029354,3
1.4744719,0.63481873,0
-2.9495919,2.9305332,1
0.9610598,0.15425816,0
-3.260979,-1.0080824,3
0.8420577,-1.9666551,6
-3.002522,6.2348094,7
-1.2447304,4.7810225,1
1.0127902,2.541205,0
-0.80900824,3.3283489,9
1.3297693,-2.6190746,6
4.3373613,2.8456464,4
-1.8550556,4.7509212,1
-2.335236,-0.3178756,8
-2.4680793,0.93386024,8
1.2335509,0.3756833,0
6.7746525,5.7497487,4
0.5056878,-0.8920515,5
-1.3620017,5.0710654,1
5.6646037,3.783854,4
2.0176768,-0.74982774,6
-2.056528,-1.4687741,3
1.5712136,3.7199986,6
-1.5142773,2.1555808,1
6.874828,4.473664,4
0.6339324,6.4831934,9
-3.4695816,-0.3183643,2
-1.1804785,2.6518676,1
1.4150691,5.7594166,9
-2.570973,5.331897,7
1.3636951,-1.6376967,6
5.4955516,5.208969,4
-0.28348684,-2.173434,6
-1.9766487,4.5391097,1
-1.8633189,0.077550694,8
0.55067074,-1.2552367,5
7.031379,4.7054358,4
-1.2893901,4.8036065,1
-2.2424033,3.0112698,1
-4.3759694,0.6351182,2
-2.8131974,5.0989847,7
-3.0902264,6.254338,7
-2.4597187,-2.4137836,3
1.8658655,-1.2168539,5
-1.8518051,2.6186986,1
3.056617,-0.6646908,5
-0.25937125,0.32365376,3
-3.5456045,0.639928,2
3.6387534,1.7989289,0
-5.900226,0.337473,2
3.5679858,2.0735285,0
1.4280828,1.3870481,0
-2.40104,6.095506,7
-1.3045585,2.6988108,1
6.323832,4.281179,4
-3.3865676,-0.5995847,3
-3.0920117,5.6546745,7
-5.4545655,0.45346022,2
-2.0051136,-0.25516123,8
2.6311834,1.9697518,0
-1.0838742,0.26936948,5
6.6247754,6.050819,4
3.7523882,3.114914,4
-1.3000164,4.8428693,1
3.5397298,1.6194209,0
-1.8992453,-1.6713995,3
-1.7114921,2.7776916,1
6.78992,5.9590263,4
0.4886166,-3.1207924,6
-5.8825917,0.42415515,2
-1.8818799,0.30986485,3
-4.8492675,0.4130906,2
1.7346737,0.6302226,0
-1.5919625,-1.7958405,5
2.6822002,1.6104807,0
-1.0902383,4.4583354,1
-2.3229263,4.1247544,1
4.05094,0.47378954,0
-2.5009828,5.701561,7
2.7567425,2.1681278,0
1.4285759,0.67830795,0
-3.7005744,6.037959,7
4.5127726,4.3842597,4
-2.3844898,-2.8323925,5
-1.9858247,4.3035884,1
4.92299,3.5759892,4
4.563773,4.365992,4
-0.14821811,2.1927545,0
-3.4587955,1.3314961,2
3.0399203,0.45938075,0
-1.8427815,1.4706345,8
-0.92118543,-2.7373056,6
-5.1919136,0.6471223,2
-0.78651464,-2.8265944,5
2.6037216,0.3802054,0
-2.3316634,0.87884456,8
1.8252118,1.2219718,0
-2.3862522,-1.0408874,3
0.19901127,0.7905463,0
-1.6549833,-1.0110888,3
6.321868,5.291007,4
-1.6346536,-4.2192063,5
-2.7594519,2.1506264,1
-0.9830606,-2.0284567,5
-2.5802238,4.4454846,1
-0.8724343,0.8204284,3
-5.515324,0.59278035,2
2.8636005,3.1763484,4
-3.4190607,4.38419,1
-0.87594104,-3.2461169,5
-1.2491237,2.3889015,1
-2.9153593,1.610622,2
-0.03706153,1.3876967,0
-2.1469228,2.7821746,8
-1.0100739,-2.1255896,5
-0.10103851,2.6561148,1
0.06679743,5.709946,9
-1.6375281,1.8505318,1
3.7354512,3.3441517,4
1.2199405,1.6294663,0
-2.2299259,4.6397314,1
-1.9265121,3.8147879,1
6.4631543,3.7175598,4
0.3616647,1.1516478,0
-1.1197317,2.7634819,1
-0.96021813,-2.3875363,5
0.7362459,-1.4425067,5
0.43236482,-3.105764,6
2.7986035,0.8915822,0
0.9087947,-0.6831601,5
-2.2185895,2.5856054,1
-1.7452981,1.3557824,2
2.7056046,1.336646,0
-3.7067904,-0.2201031,2
6.043368,3.4917605,4
6.3961544,4.5346837,4
-2.051491,4.197711,1
5.136611,3.1398005,4
1.7661333,-1.8012308,5
5.8806143,3.8725884,4
-2.6286945,5.6513486,7
6.4314456,4.4259753,4
1.6364181,-1.7019442,6
1.156255,-2.965243,6
6.6730065,4.847575,4
-1.8326322,1.0203017,8
-4.308558,-0.8576142,3
-0.6695601,-0.6912228,6
-1.0817097,3.228834,1
-1.8299075,-1.4639784,3
2.6166139,3.1008563,0
-2.8560278,-2.990509,3
6.398786,5.237692,4
-3.1662595,-2.2531917,3
0.5619267,-3.7174587,6
1.3510482,4.1776934,9
-5.1215425,-0.61866796,2
1.3821203,1.3147635,0
0.50476605,2.522704,0
-2.888031,-2.0650475,3
-2.437033,1.3518717,2
-1.9457854,1.9512053,1
-3.6957023,-1.5178174,3
2.6303873,-0.5002715,5
-2.1387682,-3.457226,5
0.6179801,1.1589737,0
-1.0270119,0.15412273,3
-1.153413,0.8289434,8
1.4161276,0.6181166,0
-2.0480204,1.5019094,2
3.3804145,1.9085863,0
-1.0725567,-1.4676595,3
-1.4179342,-1.3431568,5
-2.630474,-2.7254734,3
3.6646023,1.0580869,0
-0.29701176,-2.13069,6
-2.7250342,3.0024748,1
-2.3758028,6.909749,7
0.8343563,-0.89808315,5
0.5910512,3.2336419,1
2.109579,2.480287,0
0.7784063,5.703984,9
2.6471286,0.7138634,0
0.8549719,-0.9744619,5
-4.1401386,-0.9206158,3
-3.4771934,1.1045132,2
0.3946963,2.2045834,0
-2.0495033,1.0997707,1
-4.143662,0.5305728,2
0.35023832,5.6350985,9
3.1849117,2.0398,0
5.5615253,2.9609613,4
6.423359,3.5900261,4
2.8348043,2.283698,0
-2.0991797,0.96831954,8
0.50567394,-0.85258013,6
-3.4253438,5.6449056,7
-1.5826283,4.3794665,1
0.83346075,-1.7901142,5
6.0674853,3.6877034,4
0.11672486,3.0137563,1
1.4079523,-1.9839374,5
0.44780537,1.8887533,0
-1.1450031,-3.7227304,5
-4.6500306,0.651931,2
-4.34079,-0.01927487,2
1.4009639,1.0882359,0
-3.1618087,3.8567796,1
-4.0847554,0.6678667,2
2.9064424,1.9186136,0
-4.0768213,1.8243966,2
5.5421352,4.612153,4
-2.0746987,3.7631934,1
1.0896051,1.2326267,0
-1.1396794,-3.2189765,5
-1.2680238,2.5527198,1
1.3532368,-0.6340599,5
-2.6019151,2.2668042,1
-0.7703687,2.5533762,9
-0.98752415,0.81296796,3
4.817184,3.8611174,4
0.6554148,6.175336,9
-3.9951582,0.44591746,2
0.77749854,-0.5627204,5
-3.3612828,4.8016562,1
0.6665872,-3.7316015,6
0.88785034,0.90935045,0
-3.487747,5.1900706,7
-1.2249835,-3.219106,5
-0.17655103,4.815923,9
-0.9567584,2.105394,1
-3.4066293,-2.9004436,3
3.1101716,1.1536957,0
5.389164,3.6066887,4
2.0542457,2.3858864,0
2.7841473,2.344716,0
-1.2756865,-4.4524198,5
-2.718337,-3.1151218,3
-0.49617493,0.56405866,3
1.8705462,-0.8344525,5
-0.51251453,-0.17134093,6
-0.4184731,-1.394924,6
-1.2975719,1.5641477,1
-2.1155832,2.2540843,1
4.6300044,3.6335561,4
-1.7529144,2.3096342,1
0.57535356,-2.0480883,6
-1.7979118,-0.4230123,3
5.427605,5.1920686,4
1.9736003,-0.73255086,5
-2.4185421,-3.5674148,5
-4.100265,-2.1951733,3
-0.99505186,-3.9338636,5
-1.2601886,-0.2923977,3
-2.5651793,2.9107802,1
1.0924388,1.9482863,0
-1.5990659,-2.3955755,3
6.9637427,5.4964495,4
0.5419526,-2.9900818,6
-2.5072773,1.6801345,8
-3.4119768,6.153687,7
4.2364063,3.482502,4
0.15967351,1.7232267,0
6.4098377,3.8382304,4
5.323088,3.695158,4
-2.0283523,2.177328,1
3.315231,1.7375029,0
-2.0835044,1.4931974,8
0.8608036,6.381681,9
-2.690718,2.43761,1
3.9578967,1.4480281,0
-1.9995986,1.3925359,8
1.7501184,-2.4431074,6
-1.4763446,-1.1395222,3
-1.7904663,-0.54397094,2
0.6221369,6.416159,9
-6.525969,0.9813501,2
6.6386156,5.3999357,4
-4.3650064,-0.2813205,2
5.147114,4.3095183,4
3.569436,4.447033,9
3.7447536,1.7051104,0
-1.033495,-0.80875695,6
-1.4435426,-0.5382208,3
1.1337179,-0.9906785,6
1.3360037,0.8540565,0
0.21827623,5.9359665,9
-1.4506347,0.957428,2
-6.2664385,1.1574552,2
-4.0948353,0.38057783,2
-2.6621842,-3.0102339,3
-0.54688,-0.76237905,3
-1.0604135,2.455183,1
6.0276694,4.0823236,4
0.52755296,-3.7063966,6
-1.619865,5.8022404,7
-0.433506,-2.3505328,5
-0.07400327,-0.79028136,5
